Bike,Stars,Title,Review,Time,Design and styling,Reliability,Comfort,Service experience,Value for money,Used it for,Ridden for,Ridden for if owned,Owned for,Tips for other riders,Review was useful,Review was not useful
Bajaj Pulsar 150,5,About maintenance,It's a good bike ....It got showroom s and services everywhere.It will provide a good mileage  to. Which is very important for daily commutes and moreover it's good for long rides with nice fuel efficiency. I prefer black colour is very tempting.Finally it's a good for middle class people and it worth it.,4 years ago,4,5,5,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Change of engine oil after 5000 km.,2,1
Bajaj Pulsar 150,5,"Comfort Tell us how comfortable do you feel while riding this bike in traffic, long drives etc.","Tell us how comfortable you feel while riding this bike in traffic, long drives, etc. The best Raiding pulsar bike DTS I bike is the very best Raiders long drive bike I love the 150 Bajaj Pulsar I knew it best super experience and best Sapention and mileage in Bajaj pulsar I love the Bajaj pulsar bike superbike",30 weeks ago,4,No Reliability Rating,No Comfort Rating,No Service Experience,No Value Rating,Everything,Never Owned,No Data,Never owned,Time to time company services,2,1
Bajaj Pulsar 150,5,My amazing experience,Hy today I'm sharing my real experience first time I bought a Pulsur 150 in year 2012 it was the first bike whenever I purchased buying experienced that time and was excellent after that the ground clearance and road experience were very good I loved the bike looked a sporty bike servicing is very cheap  and low maintenance  after that I again buy one more pulsar 150 in 2017 in this this I own 2 pulsar both are working fine low maintenance I'm very happy and extremely thank you from my side to Bajaj engineer,30 weeks ago,5,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Do servicing after 2000km or change engine oil after 3000km,2,1
Bajaj Pulsar 150,5,Pulsar 150 Lover's,"The Pulsar 150, an epitome of reliability and performance, stands as a stalwart in the commuter motorcycle segment. Its sleek design, coupled with robust engineering, makes it a favourite among riders seeking a blend of style and substance. Keep your motorcycle clean, both inside and out. Regular washing and waxing not only improve aesthetics but also help prevent corrosion and maintain resale value.",19 weeks ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,2,1
Bajaj Pulsar 150,5,Very nice,"Certainly, here's a comprehensive overview of the Bajaj Pulsar 150:1. **Buying Experience:**   Purchasing a Bajaj Pulsar 150 is often a hassle-free experience for buyers. Available at authorized Bajaj dealerships across many regions, customers can choose from various color options and financing plans to suit their preferences and budgets. The buying process is usually straightforward, with dealers offering assistance and guidance to potential buyers.2. **Riding Experience:**   The Bajaj Pulsar 150 offers a comfortable and enjoyable riding experience. With its well-padded seat and upright riding posture, riders can comfortably navigate through city traffic or enjoy longer rides on highways. The bike's smooth acceleration and responsive handling make it easy to maneuver in different riding conditions, while its refined suspension system absorbs bumps and undulations on the road, enhancing rider comfort.3. **Details about Looks, Performance, etc.:**   - Looks: The Bajaj Pulsar 150 boasts a sleek and sporty design that appeals to riders looking for a stylish commuter bike. Its muscular fuel tank, sharp headlamp cluster, and attractive graphics give it a dynamic and modern appearance.   - Performance: Powered by a refined 149.5cc DTS-i engine, the Pulsar 150 delivers impressive performance. It offers a good balance of power and fuel efficiency, making it suitable for both daily commuting and occasional long rides. The bike's engine produces ample torque, allowing for quick acceleration and smooth overtakes, while its reliable braking system ensures safe and controlled stops.4. **Servicing and Maintenance:**   Bajaj has a wide service network, making servicing and maintenance of the Pulsar 150 convenient for owners. Routine maintenance tasks such as oil changes, chain adjustments, and brake inspections are relatively simple and affordable. Genuine spare parts are readily available at authorized service centers, ensuring that the bike remains in optimal condition over time.5. **Pros and Cons:**   - Pros:     - Sleek and sporty design     - Comfortable riding posture     - Smooth acceleration and responsive handling     - Good fuel efficiency     - Reliable braking system   - Cons:     - Some riders may find the seat slightly firm for long rides     - Vibrations at higher speeds can be noticeable     - The rear suspension could be improved for better comfort over rough roadsOverall, the Bajaj Pulsar 150 offers a compelling package for riders seeking a stylish, reliable, and efficient commuter bike that delivers a comfortable riding experience both in the city and on the highway.",17 weeks ago,5,5,5,5,1,Daily Commute,Never Owned,No Data,Never owned,35000,2,1
Bajaj Pulsar 150,5,Mr,"It was so comfortable bike I used it dailyBike is a two-wheeler semi-automatic transport vehicle. Bike has wheels containing either spokes or alloy. Bike runs with the help of petrol(mainly) or diesel. Bike has lights ,horn, mirror etc for ease of driving.",13 weeks ago,5,5,5,5,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Just do one thing use it like a princess,2,1
Bajaj Pulsar 150,5,Bike experience,"Buying ExperienceThe buying experience of the Pulsar 150 is generally smooth due to Bajaj's extensive dealership network across India. Here’s what potential buyers can expect:Availability: Easily available at most Bajaj showrooms with various financing options.Price: Competitive pricing within the 150cc segment, often with seasonal discounts or offers.Test Ride: Most dealerships offer test rides, allowing buyers to experience the bike before making a purchase.Documentation: Quick processing of documentation, including insurance, registration, and financing.2. Riding ExperienceThe Pulsar 150 offers a comfortable and enjoyable riding experience for both city commuting and occasional highway rides:Ergonomics: Upright seating position, well-padded seat, and easy-to-reach handlebars make for a comfortable ride.Handling: The bike is known for its stable handling and responsive steering, making it suitable for navigating through city traffic.Suspension: Telescopic front forks and rear twin shock absorbers provide a smooth ride over uneven surfaces.Braking: Equipped with disc brakes at the front and drum brakes at the rear (with optional ABS), offering good stopping power.3. Details about Looks and PerformanceDesign: The Pulsar 150 sports a muscular and aggressive design with stylish decals, a sharp headlamp, and a sporty fuel tank.Engine: Powered by a 149.5cc, single-cylinder, air-cooled engine producing around 14 PS of power and 13.4 Nm of torque.Mileage: Offers a mileage of approximately 45-50 kmpl, depending on riding conditions.Top Speed: Can reach a top speed of around 110-115 km/h.Features: Includes a semi-digital instrument cluster, LED tail lamps, and alloy wheels.4. Servicing and MaintenanceService Centers: Wide network of authorized service centers ensures easy access to servicing and genuine parts.Maintenance Cost: Relatively low maintenance costs compared to other bikes in the same segment.Service Intervals: Regular servicing every 3,000-5,000 km is recommended to keep the bike in good condition.Common Issues: Some owners report minor issues like chain noise or clutch adjustments, which are easily fixable during regular servicing.5. Pros and ConsPros:Performance: Good balance of power and efficiency.Comfort: Comfortable seating and ride quality.Design: Sporty and appealing design.Maintenance: Low maintenance costs and easy availability of parts.Resale Value: Strong resale value due to its popularity and brand reputation.Cons:Vibrations: Some riders report vibrations at higher speeds.Features: Lacks some modern features found in newer bikes (e.g., full digital console, LED headlights).Weight: Slightly heavier compared to some competitors, which may affect maneuverability for some riders.In conclusion, the Bajaj Pulsar 150cc remains a solid choice for riders looking for a reliable, stylish, and well-performing motorcycle within the 150cc segment. Its blend of affordability, performance, and ease of maintenance continues to make it a popular choice among Indian motorcyclists.",13 weeks ago,5,5,5,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"Engine Oil:Change the engine oil every 3,000-4,000 km.Check oil levels regularly and top up if necessary.Use the recommended grade of oil specified in the owner’s manual.Air Filter:Clean the air filter every 5,000 km.Replace it every 15,000-20,000 km or as recommended in the service manual.Spark Plug:Check the spark plug every 5,000 km.Clean or replace it as needed to ensure proper ignition and fuel efficiency.Brake Maintenance:Inspect brake pads every 5,000 km and replace them if worn out.Check brake fluid levels and top up or replace as necessary.Ensure that the brakes are properly adjusted for effective stopping power.Chain Lubrication and Adjustment:Lubricate the chain every 500-700 km using proper chain lube.Adjust chain tension every 1,000 km to avoid slack or excessive tightness.Tyre Maintenance:Check tyre pressure weekly and maintain the recommended pressure levels.Inspect tyres for wear and tear; replace them if the tread is worn out.Ensure proper wheel alignment and balance to prevent uneven tyre wear.",2,1
Bajaj Pulsar 150,5,Bio-data of pulsar 150,"1-This was a surprise gift from my father after my 10th exams 2- this pulsar 150 is the best bike for indian roads which will be useful in all type of roads which is off-road and on-road this bike goes at a good speed which i have reached 120km/hr this is a good puller where when three of us travelled in that bike the pickup is same and it went up to 110km/hr the style of the bike is good and which enables the rider to ride without any pain while you drive it highway or in city.Performance wise it have a good pickup and speed when the rider only travels it is not good to go above 100km/hr because it  is difficult to control while turning and while moving on flyover's service and maintenance wise it will be better while maintaining in showroom it is bit expensive but worth doing it pros- best in 150 series, good pickup , best for off-road and on-road  and city cons- average mileage no rear disk breaks",7 years ago,5,5,4,4,5,Everything,10000-15000 kms,5000-15000 kms,> 1 yr,Don't modify and treat it like your buddy,1,0
Bajaj Pulsar 150,5,"Value for money, awesome look &a performance",When i purchase it's available ready stocki have ride my bike 88000 km till date low maintenance comfortable for long and short tripawesome experiencegreat pickupgreat mileagekiller lookmaintance low every where parts available every where services centre availablevalue for money to pulsar 150 dtsia,7 years ago,5,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,Supereb,Bajaj pulsar is good bike for riding in tour and other way and also good pick up. Sitting position is also too good. Every bike must have good maintenance and servicing when necessary. I goes for servicing when bike necessary because it is very important like as our food. I like my pulsar so much and suggest my all friends for that.,7 years ago,5,4,5,4,4,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,It ia good bike,1,0
Bajaj Pulsar 150,5,Master is master,"It is a very simple buy from agency.Riding experience is very very best, simple, high pickup and good driving.Looks is so smart of this bike. Best performance. Amazing headlight and back light indicator very amazing.Servicing change oil after 2200 km riding.Maintenance could best at the time accordingly.",7 years ago,5,4,4,5,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,I just fell in love with my bike,I purchased this bike while i was in college. Previously i have also rode many bike but the comfort and ease i found on puslar 150...Is just speechless ! with great average it has a very nice pickup! i with my friends used to go on long rides and my bike never gave up even after a drive of 3 days! i has such a superb tank capacity! the breaks! i would like to inform that  it helped  me many a times on the highways....In saving my life....! the electric start option and other few little things are also there with gives one an ease of drive! trust me! you will definitely fall in love with your bike and i am!,7 years ago,5,5,5,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,Just care for it as your true love and i will love you back! Remember to check and change the engine oil every month!,1,0
Bajaj Pulsar 150,5,Amazed,It is an amazing bike!! loved it and it has got  stylish look..Very comfortable while driving and also the visual appeal is next level and the reliability is very affordable and it gives fair mileage for fair price..It is very trustworthy and service experience is extremely good ..I fell extremely satisfied for the that affordable price..,7 years ago,5,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Change oil after  3000 kms.,1,0
Bajaj Pulsar 150,5,Unique bike,The bike is really good to drive in villages as well as city in all the conditions whether it would be summer or winter the sound of bike makes it just deliberately  unique from other bikes .The bike has got incredible power with a amazingly good pickup the company guides you while servicing the bike .It is really very amazing to ride this bike .Thank you bajaj for making this bike very much from my heart.,7 years ago,4,4,3,5,5,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,Keep the bike checking regularly in 6 to 12 months,1,0
Bajaj Pulsar 150,4,Best in 150cc segment,It's readily available at jamuna bajaj talcher. I own the bike since November 2014.I do only regular service no extra maintenance.I use the bike for day to day commute sometimes i use for leisure rides.The bike has very good grunt in lower rpm and stable at highway speeds.I have done 300kms at one stop on this bike from angul to bhubaneswar and return.Amazing performance.....It returns me around 50kmpl on highways and 45kmpl in cities.,7 years ago,4,5,4,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,Change oil in every 2500kms to keep the engine smooth.,1,0
Bajaj Pulsar 150,4,"Don't think much, go for it","I have bought my 3rd pulsar last year hope you understand how much i like it.I have been riding pulsar from last 6 year its awesome feeling to ride the pulsar.And look, bajaj always inventing new looks for its model that is why they are in trends and they improving the design that makes me deewana of pulsar now i want to buy new pulsar 160ns it's look is amazing.Servicing cost is not much if any parts of it damages. Its similar to one day dinner out.Pros- Looks amazingPick up in secondsSpeed upto 140kmBalancing is good if not raining.Mileage is goodCons-Some time in rain it is slipping if you are not careful.Parts are costly.",7 years ago,5,4,5,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,Just show to service centre in a month or after 1500-2000 km riding.,1,0
Bajaj Pulsar 150,5,Gud bike for middle level budget,It was a great bike for daily usage...I loved itGood pickupNice performance and attractive looks something easy to maintain it.Attractive looksStylish designGood pickupDoesn't shake at high-speedGood grip tyresComfortable diskComfortable to rideBack look is nice..Some oil leakage problems........Nice bike.....,7 years ago,4,4,4,3,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,Awesome bike for middle class boys,Awesome bike for everyone ........ Its pickup is amazing....... I had ride this bike around 80000 kilometers but still its engine just like new bike ..... After service and oil changing pickup is almost equivalent to brand new bike .... Control of this bike is also very good on top speed of 120 we can control it easily within few seconds .... I personally suggest to all of you that in so cheap budget it is the perfect bike this is...,7 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,4,Amazing bike ever-forever,"Experience with this bike and quality of this bike : - it is a great bike.I bought this bike in 2016 and now it gives solid mileage of 55kmpl. My daily commute to college is 25 km one way.It's a smooth ride.Works all seasons.But one weak point is is when i breaker hardly then the back tyre slip a bit.This matter is happened mostly in rainy days. The seat of this bike is very comfortable.Anyone feel comfortable to seat on the seat.Riding pleasure is higher than all other bikes of similar segment i have ridden .It's also a most trusted model since 2003 some thing and has been refined very well over the years , very less maintenance .Just need to change engine oil after 2500-3000km ride air filter once in a while. This bike is best bike for middle class family who can't effort higher prices bikes.",7 years ago,4,5,4,5,5,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,Change engine oil after 2500-3000km ride air filter once in a while,1,0
Bajaj Pulsar 150,5,Bike on budget.,The bajaj pulsar 150 is my favourite bike. It has a very sporty and rocking look. Its speed and control is awesome. Its seating is very very comfortable. I enjoy it very much while riding. It gives us value of money. The fuel consumption is lesser than other sport bikes. It is available at every bajaj showroom in different colors. Its tyres are broad and alloy wheal with stylish looking. Its handling is very good. It is very reliable bike. I like it very much. Must prefer this bike,7 years ago,5,5,5,5,5,Everything,Never Owned,No Data,Never owned,Use tubeless tyres .,1,0
Bajaj Pulsar 150,4,Happy pulsar owner,"I bought pulsar 150 2 years ago. I am very much satisfied with the bike , i have been using it for daily commute,it's build quality is good. You can always trust bajaj when it comes to sales and service or spare parts. I never had any issues with the bike . You can use the bike however you want and it will never trouble you. One thing which i am not satisfied is with its pillion seat comfort, it's not that comfortable as compared to other bikes in this segment but it's ok. You can take this bike to weekend rides on highways and can have fun. Pulsar is a brand u can trust it blindly.",7 years ago,4,5,4,4,4,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,Get time to time serviced your bike and change engine oil after every 3500km and keep a keen eye on tire pressure regularly for better mileage and smooth performance of bike. Also change air filter after every 10000 km,1,0
Bajaj Pulsar 150,5,Best among 150cc pulsar,"My dad gifted me this bike on 2011, till now no other bike has impressed me as pulsar. It gives complete satisfaction while driving this. Still love this bike. It gives a stylish look when i drive it and the performance is awesome.Mileage , speed , control , efficient all the need in bike is its pros.",7 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,"Just take care of it, it will do in return",1,0
Bajaj Pulsar 150,4,Bajaj dts i is good in Indian roads,I have used more than 6 to 7 years .. Buying experience is good . I don't face any challenges in pulsar riding . Only one thing is disk break . If applied the break it should apply both the tier at a time that facility need to give bajaj with less bikes. Performance is awesome 150 dts i. Service and maintenance is reasonable,6 years ago,4,3,4,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,Amazing pulsar...,"I have pulsar 150"" 2015 model,had a great experience of riding this bike specially comfort during drive a long.Good control of speed with gear shifting and accelerator not even in single even in double seat bike balancing too good.Also good service provided by bajaj dealer/service center. Overall  awesome experience....",6 years ago,4,4,5,5,4,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,Get service your bike regularly and follow service center guidance.,1,0
Bajaj Pulsar 150,4,Defiantly male is a truth....,"The bike has a true quote of defiantly male this is a which has a nice ride control and you may ride it till 90-95 km/hr with a nice ride control but bike is little bit start making sound as you reach 105-110 km/hr,so i will provide it 4/5 rating..And maintenance cost is a bit high as compare to hero bikes of same segments.",6 years ago,5,4,3,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Service the bike at every 2000-2500 km,1,0
Bajaj Pulsar 150,5,Best bike,"I am owning this bike since last 9 years. This is the best bike among all. Every thing is best i.E. Look, comfort, average and durability.Suggest very one to buy this bike .Go for it buddies.Buy only pulsar 150.Low maintenance, best in average , look , ride , comfort and many more.Worlds best bike created by bajaj.",6 years ago,5,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,127000,1,0
Bajaj Pulsar 150,4,Super sports bike for pulsar 150,"Pulsar 150 is the nice bike. The bike raiding in the road but  i feel flying  in the sky.Performance is awesome .Service cost is budget able and long trip is very superb performance. Suddenly  pickup for the road. Maintenance free vehicle, then bike for the buying in pulsar no idea but after buying the pulsar is suddenly change the my mind set.",6 years ago,4,4,4,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Change the oil for every 2000 km once,1,0
Bajaj Pulsar 150,5,Pulsar,"Dear all, i am using pulsar 150 since 2011, its amazing and very comfortable. I would like to prefer this bike.The road grip is wonderful and maximum comfort for rider. Smooth and available in 5 gear. Speed level is awesome.My experience with this product is nice and no any problem faced since 2011.Its a wonderful bike in a cheapest price. If i want to describe in a word, the suitable word for it- ""wonderful"".Feature is awesome, capable, reliable and mileage is 65kmpl.The top speed of this bike is 110 kmph and this is awesome.",6 years ago,4,3,4,3,4,Everything,Never Owned,No Data,Never owned,No Tips,1,0
Bajaj Pulsar 150,4,My dream,Superb of this vehicle To the ride conveniently use to drive Excellent pick up and mileage Comforting seat and family  purpose journey on bike ride Good break systemTires width and grips goodAnd engine 4 valves dtsi Stylish looking  Totally  evergreen this vehicle In the modelsI like this modelI am happy with this vehicle.,6 years ago,4,4,5,4,5,Everything,Never Owned,No Data,Never owned,No Tips,1,0
Bajaj Pulsar 150,4,Before buying pulsar 150,First i searched more number of bikes before buying this bike pulsar 150 i have being confused to buy either unicorn 160 or pulsar 150  but according to price and mileage this pulsar 150 is best of them hence it is awesome bike to buy Riding is excellentPerformance is superb!Maintenance is less Pros,6 years ago,5,3,5,5,5,Everything,< 5000 kms,0-5000 kms,6 months-1 yr,"Before first servicing we have to complete 3000 kms and change the oil also 
Then after completing 6 months this will be excreting some noisy sound we have to work in mechanic shop",1,0
Bajaj Pulsar 150,5,Superb bike,This bike is just perfect. Price are not too high. Fit in every needs. awesome mileage. Good speed. It's its design is just sexy. Buy it for black and red. Low maintenance . Can use for long rides. Service center can be found very easily everywhere. Lights are also good. Can be use for all purposesGo for it,6 years ago,5,4,4,5,4,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,2500,1,0
Bajaj Pulsar 150,4,Jhakas bike,Bajaj  pulsar  150 is very good bike because  this bike design is very good looking heavy weight  149 kg so riding is comfortableI bought  black colour  looking awesome Front disc brake is very tight so you brake first back and again front okThis is a balanced bike because of your speed 70-80 km/h on road you thought my bike 49 km/h this is balanced,6 years ago,5,5,5,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Every day clean your bike before riding every month check mechanic  normally sound Air arc oil change regularly,1,0
Bajaj Pulsar 150,4,Amazing bike,Best bike ever good pickup good quality of ride pulsar 150cc with wolf light have a capacity of 11 tank .Good mileage and awesome features having day and night sensors ....Pulsar is a sport bike of the India and most commonly used now a days by all age group love to ride this bike and have a good experience..,6 years ago,4,4,4,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Change oil after 2500 kms,1,0
Bajaj Pulsar 150,4,Best is the beast,bajaj has made a nice product  it's the only pulsar which has a nice sitting as compare to other pulsar's...If we talk about it's looks are awesome you can take it as a commuter as well as in sports Performance it is based on you how you use it .If you use it for race it will gives best competition into its 150 cc segment Servicing & maintenance cost is not so expensive even for middle class family'sIt's advantage is it having a nice sitting +good mileage+easily catches speed of 100 in 10 secs & the side needs to be improved is braking part bajaj should work on it,6 years ago,5,5,5,5,4,Everything,10000-15000 kms,5000-15000 kms,6 months-1 yr,If use to go for long rides use tubeless tires for mileage use speed or power petrol &change oil every after 3500 km,1,0
Bajaj Pulsar 150,4,Awesome,"Awesome bike,excellent mileage.Once you ride this bike no more second option you definitely ,own this bike ,very cheap maintenance .Right bike to our country.For all ages.Good bike.Super'b service very good customer care,excellent road grip,nice disc brakes ,good sitting comfort,multiple colour choice,over all a very good bike to own,worth for every penny,go for it ,you cant get much better than this bike.",6 years ago,No Design Rating,No Reliability Rating,No Comfort Rating,No Service Experience,No Value Rating,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,Review,"I m a big fan of sports bike, first i decided to buy duke but when i look at pulsar 150, i searched in internet and watched on youtube i went to the showroom to see it and then i took test ride and i felt amazing while riding. And i bought it. Its a amazing bike like i feel pulsar 150 also like sports , it is very comfortable with parents while riding, the speed is superb and my top speed on pulsar 150 is 118 and the look is amazing. Performance is good, mileage in city is about 50kmpl and at highway around 53kmpl, good servicing experience and low maintenance...Its a worth on this amount.",6 years ago,5,5,5,5,4,Everything,> 15000 kms,15000+ kms,> 1 yr,Tubeless tyres ..superb ..and service and oil change every 5000km,1,0
Bajaj Pulsar 150,4,Pulsar the best bike,"Budget bike, for everyday commute, long rides, mileage above 40kmpl Service not so costly Balance and brakes are really goodExperience for more than 4 yearsWeight and dynamics of the bike is really goodReally feels good while driving inside the city traffics Attractive head and rear lampsSeats are really comfortable",6 years ago,4,4,5,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"Change oil after 3000kms
Tyre can go up to 40 000 kms",1,0
Bajaj Pulsar 150,4,Formal and descent looking bike in every aspect,"Buying bajaj pulsar150 is not a big deal i got it on the spot.I can say it has a smooth riding quality with a descent pickup.  Bajaj pulsar 150 has an eye grabbing design and looks in 150cc segment bikes,it's well suited for every age group.Performance is good, you can feel the muscularity of the bike while riding, everyday i drive 60kms and i haven't seen any flaw till now in riding.It's been 3 months since i owned this bike. Servicing and maintenance of  the bike is very much affordable. The plus points in this bike are *reasonable price*mileage(for me it's giving a mileage of 65kmpl)*looks*riding quality*Minus points are *earlier i was the owner of fz16 which has the same engine i enjoyed with it's slightly heavy pickup which i don't find in pulsar 150 as it has a smooth and light pickup when compared with fz16*",6 years ago,4,4,4,4,5,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,No Tips,1,0
Bajaj Pulsar 150,5,Review,This bike is very nice looking and its speed is very gorgeous and its comfort to ride and sit its hosing power is very excellent no other bikes should compare this bike its mileage is very very good and its average is also good his battery and self and engine  is so good its very easy to ride excellent bike.,6 years ago,5,4,5,5,5,Leisure Rides,Never Owned,No Data,Never owned,No Tips,1,0
Bajaj Pulsar 150,5,Such a great performance of this bike i love it,Best handle shape and wheel griping it has a very sporty and rocking look. Its speed and control is awesome.Its seating is very very comfortable. I enjoy it very much while riding. Pulsar 150 is really a hero for me. It's too good for daily usage and for a leisure drive. It's very easy to carry and also for maintenance. In my view it's looks like an angry bull. I get 120km speed maximum. I think pulsar 150 is a good choice if you love to ride. The mileage of my hero is 51km/litre. I get 5 free service. Overall you have no other option if you ride pulsar 150.,6 years ago,4,4,5,5,4,Daily Commute,< 5000 kms,0-5000 kms,> 1 yr,"Very useful devices & all system are best
Great handle shape and best balance",1,0
Bajaj Pulsar 150,4,Indian tigress pulsar,"Buying experience 3.5Riding experience 4Looks 4Performance 4Servicing and maintenance 4.5Pros mileageCons felt little vibrations.The bajaj pulsar is one of the most influential bikes in India, responsible for the revolution of the Indian biking scene. After ignoring it for a long time, bajaj has finally launched the updated pulsar 150 which now adheres to bs-iv emission norms. The 2017 bajaj pulsar 150 is priced at rs 74,603 ex-showroom, delhi, rs 800 more than the previous variant. It faces competition from the honda cb unicorn 150, hero achiever and tvs apache rtr160.",6 years ago,4,4,4,4,2,Daily Commute,5000-10000 kms,5000-15000 kms,6 months-1 yr,use a Wide tyre of Zapper C -series and Don't Put wider tryes in it,1,0
Bajaj Pulsar 150,4,A power packed bike for entry,"Pulsar is my first bike,i was confused to select the perfect one before buying.Am attracted towards their tag line ""bajaj pulsar definitely male"" i visited bajaj showroom and take a test ride.After riding the bike i was amused by its power.And fall in love for young people who loves power its a good entry range bike,though i was short in cash,but nothing to worry. I got finance option and now proudly own pulsar. Performance is good,though its look, is not much sporty but a city bike with lots of power..Till now no maintenance issue.But in long ride it gets hot.",6 years ago,3,4,3,4,4,Leisure Rides,5000-10000 kms,5000-15000 kms,6 months-1 yr,2500-3500 according to your use.,1,0
Bajaj Pulsar 150,5,Very useful bike,"Many long journey without tired style designed well from fuel tank to rear seating area, the front part could have been designed better.It has a very sporty and rocking look. Its speed and control is awesome.Its seating is very very comfortable  excellent pick-up. Awesome looks the riding experience is very nice",6 years ago,No Design Rating,No Reliability Rating,No Comfort Rating,No Service Experience,No Value Rating,Everything,10000-15000 kms,5000-15000 kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,Review,"I have bajaj pulsar 150cc bike , its really a amazing bike. Nice mileage and very comfortable for long drive.Many times i ride this bike for long drive, very nice pickup. Bike is looking so amazing its very nice performance. Before 3 years ago i bought this bike, very nice experience. Every 3 months i do servicing the bike for best riding.",6 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,Pulsar experience,"2- riding experience is superb, i used honda unicorn but on honda we can't go on long drive and on pulsar you can, because its handle grip and style is very nice.3- performance wise no competition in market,4- servicing and maintenance cost is not much as other bikes, its very low.its truth.",6 years ago,5,4,5,3,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,4,Best of pulsar 150,"Bajaj’s pulsar series is among the most popular range of bikes from the two-wheeler manufacturer which is still going strong in terms of sales and pulsar 150 is one of the models in the series which is a prominent choice in the 150cc segment.  Factors like ample power, sporty design, impressive fuel economy and lucrative pricing attribute to the success of the bajaj pulsar 150. Power comes from the 149cc, four stoke, air-cooled engine and suspension duties are handled by telescopic forks in front and nitrox shock absorbers. The mileage is also prominent of 55-60 kmph depends upon the rider & the way of riding. Only one point as a issue that i can say it's chain & cover gets loose after a running of 5000 km , which can be fixed not a big problem rest the bike is best in the range offered by bajaj as compared to other bikes .",6 years ago,5,5,5,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"Tunning should be medium
Engine oil should be change after 2500km for better performance
Water level of battery should be taken care of Mud should be removed  as it destroy & corrodes the body of bike.
Proper servicing in every 3 months for best durability",1,0
Bajaj Pulsar 150,5,India's first sports bike awarded pulsar,1.My purchase cost was 86000 it was expensive while the period of buying my bike.2.It is best bike in riding pulsar 150 it is best bike in city use and long drive .3.It has best look as it eagle eye and cowl lamp and it looks like sports bike pulsar has awarded the India's first sports bike.4. Maintenance is cool affordable for a middle class people and servicing is better.,6 years ago,5,4,5,3,4,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,4,Value for money,"Pulsar 150 is value for money Had a great mileage of around 45-50kmplGood pickup,breaks and suspensions You get a-lot more is less price then others Low maintenance cost One will love it for long rides as sitting position is so comfortable not so bend and not so straight at very level positioning A very perfect bike for daily use",6 years ago,4,4,4,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Get your service done from service centre always,1,0
Bajaj Pulsar 150,4,Stylish and fabulous in this price range,I bought this bike in 2010 and the bike is well designed and looks is awesome. I am satisfied with the performance of the same and servicing and maintenance is also easy. The one i love is pickup and this bike is good at this price range. I will recommend this bike for the middle class who use the bike in day to day activity. Very good experience after riding this bike,6 years ago,5,5,4,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Service it time to time as an when it needed for example in start you can run it for 4000-5000 km without change but after 8-10 years later you should change oil after 2000 km,1,0
